#NAME	SRR13061234	SRR13061235	SRR13061236	SRR13061237	SRR13061238	SRR13061239	SRR13061240	SRR13061241	SRR13061242	SRR24889334	SRR24889335	SRR24889336	SRR24889338	SRR24889339	SRR24889340	SRR24889341	SRR24889342	SRR24889343	SRR24889344	SRR24889345	SRR24889346	SRR24889347	SRR24889349	SRR24889350	SRR24889351
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_sp._oral_taxon_848	0	0.000129406	0.000201258	0.000115713	5.62E-05	0.000119978	0.000112664	9.67E-05	0.000105497	7.99E-05	0.000105053	6.01E-05	0.000128664	2.78E-05	0.000299412	0.000497544	0.000104508	0.000178151	7.99E-05	6.31E-05	0.000283785	0.000361401	5.81E-05	0.000199525	5.63E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_sp._oral_taxon_897	0	0.000279244	0.000307477	0.000150066	0.005328839	0.000234957	0.000370701	0.000765158	0.000837173	0.000107233	0.001183097	0.001741742	0.000539401	0.000246205	0.001251542	0.000281275	0.000280202	0.000617842	0.000119885	0.000256902	5.68E-05	0.001582969	0.000436902	0.000545369	0.000470756
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_sp._Z16	0	0.000115784	0.000173305	8.68E-05	0.000144456	0.000129976	0.000196254	0.000125469	0.000326702	6.95E-05	0.000380192	0.00024024	8.91E-05	0.000103247	0.000185635	0.000162514	0.000205986	9.48E-05	3.43E-05	9.14E-05	0.000170271	0.000367942	0.000137743	0.000292637	0.000191884
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_tangfeifanii	0	6.13E-05	0.000134172	3.80E-05	6.42E-05	2.50E-05	4.36E-05	1.23E-05	0.000313089	3.77E-05	0.000180091	0.00024024	2.47E-05	1.59E-05	8.58E-05	0.000138762	0.000119654	3.03E-05	5.71E-06	1.74E-05	0	0.000156989	6.46E-06	6.32E-05	7.16E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_viscosus	0.001967908	0.001246382	0.000888889	0.001290927	0.00256009	0.002374561	0.003419903	0.003437041	0.004206285	0.000346104	0.001285649	0.001381381	0.001271799	0.000361365	0.001000036	0.000867576	0.000795167	0.000974144	0.003099872	0.001190891	0.003972984	0.001914935	0.006443768	0.001868885	0.004405658
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinotignum;s__Actinotignum_schaalii	0.000151378	3.41E-05	1.12E-05	1.45E-05	2.41E-05	1.50E-05	7.27E-06	1.44E-05	6.13E-05	3.70E-06	4.25E-05	0	0	3.97E-06	2.79E-05	1.31E-05	1.97E-05	1.52E-05	8.56E-06	8.71E-06	0	2.13E-05	6.46E-06	1.33E-05	2.56E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium;s__Arcanobacterium_haemolyticum	0	4.09E-05	7.27E-05	1.08E-05	6.42E-05	4.00E-05	4.72E-05	1.03E-05	0.000129319	1.77E-05	0.000145073	0.00012012	1.48E-05	1.99E-05	2.00E-05	2.81E-05	5.76E-05	2.65E-05	8.56E-06	2.18E-06	0	7.03E-05	2.15E-06	7.65E-05	4.61E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium;s__Arcanobacterium_phocae	0	6.81E-06	1.68E-05	5.42E-06	0	1.00E-05	1.82E-05	0	3.40E-05	1.48E-06	3.75E-05	0	0	7.94E-06	1.40E-05	1.44E-05	1.82E-05	5.69E-06	0	6.53E-06	0	1.96E-05	0	3.33E-06	1.54E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Flaviflexus;s__Flaviflexus_salsibiostraticola	0	1.36E-05	3.91E-05	2.35E-05	2.41E-05	1.50E-05	2.54E-05	2.47E-05	5.10E-05	1.26E-05	5.25E-05	0	1.48E-05	2.38E-05	3.19E-05	1.88E-05	3.64E-05	1.71E-05	8.56E-06	4.35E-06	0	3.43E-05	4.30E-06	7.98E-05	4.61E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Flaviflexus;s__Flaviflexus_sp._H23T48	0	1.36E-05	0	1.81E-05	4.82E-05	2.50E-05	2.54E-05	1.03E-05	6.47E-05	7.40E-06	6.25E-05	6.01E-05	4.95E-06	1.59E-05	2.40E-05	2.13E-05	4.24E-05	1.14E-05	0	4.35E-06	0	4.42E-05	2.15E-06	2.00E-05	3.07E-05
