dataSet,var,Species,Method,Estimate,Std.Error,t.value,p.value,Zscore,direction,PlotValue,Text
CAMEB2,BSI,Pseudomonas_aeruginosa,MASS::rlm,2.26143570346166,0.898626425670949,2.5165470754693,0.012485672234874,2.4981120478935,1,2.4981120478935,+
CAMEB2,BSI,Pseudomonas_tolaasii,MASS::rlm,3.6690482179679,1.95843875502609,1.87345568430554,0.0621863525549339,1.8649646985386,1,1.8649646985386,NA
EMBARC,BSI,Schaalia_odontolytica,MASS::rlm,-10.7132499364321,2.07630811237679,-5.15975922483318,4.18098324493883e-07,-5.06052741998112,-1,-5.06052741998112,-
EMBARC,BSI,Rothia_mucilaginosa,MASS::rlm,-3.83793382301105,1.48290388136889,-2.58812042454714,0.0100580952615054,-2.57382561959468,-1,-2.57382561959468,-
EMBARC,BSI,Porphyromonas_gingivalis,MASS::rlm,-0.317264950056445,2.83972278947301,-0.111723915881001,0.91110728769512,-0.111641976403422,-1,NA,NA
EMBARC,BSI,Prevotella_jejuni,MASS::rlm,-17.5925367372334,2.81971105206891,-6.23912748943733,1.28887123658267e-09,-6.06877804509336,-1,-6.06877804509336,-
EMBARC,BSI,Prevotella_melaninogenica,MASS::rlm,-9.48743795928496,1.98870152705498,-4.77066962046069,2.71473932000991e-06,-4.69130047691682,-1,-4.69130047691682,-
EMBARC,BSI,Staphylococcus_aureus,MASS::rlm,2.55599694144876,2.10783343452458,1.2126180843247,0.22610556627264,1.21045182389542,1,1.21045182389542,NA
EMBARC,BSI,Streptococcus_mitis,MASS::rlm,-3.40919990746684,1.85188584115714,-1.84093416111256,0.0664897089248602,-1.8351078643101,-1,-1.8351078643101,NA
EMBARC,BSI,Streptococcus_oralis,MASS::rlm,-5.56627651477153,2.67084609185686,-2.08408733537381,0.037887583316184,-2.0760688538158,-1,-2.0760688538158,-
EMBARC,BSI,Streptococcus_parasanguinis,MASS::rlm,-9.946507169874,2.70353529931639,-3.67907427448387,0.000271470698022687,-3.64110470272977,-1,-3.64110470272977,-
EMBARC,BSI,Streptococcus_pneumoniae,MASS::rlm,-1.88315692672935,1.86650875770375,-1.0089194165079,0.313720358435412,-1.00744628487592,-1,NA,NA
EMBARC,BSI,Streptococcus_salivarius,MASS::rlm,-7.35716742471682,1.93601938020298,-3.80015174432059,0.000170903322441487,-3.75854643778351,-1,-3.75854643778351,-
EMBARC,BSI,Streptococcus_sp._HSISM1,MASS::rlm,-7.8547461341747,2.89079559618975,-2.71715722292083,0.00691662067006568,-2.70083228683134,-1,-2.70083228683134,-
EMBARC,BSI,Streptococcus_sp._LPB0220,MASS::rlm,-7.68076695791607,2.86567168644906,-2.68026759458741,0.00770932423462201,-2.66454198474414,-1,-2.66454198474414,-
EMBARC,BSI,Streptococcus_sp._oral_taxon_431,MASS::rlm,-12.8089105396145,2.96227762888648,-4.32400745112785,2.00794597251547e-05,-4.26400538945435,-1,-4.26400538945435,-
EMBARC,BSI,Veillonella_atypica,MASS::rlm,-14.8480428761013,2.28462702444866,-6.49911023427752,2.82928808433638e-10,-6.30785515101901,-1,-6.30785515101901,-
EMBARC,BSI,Veillonella_dispar,MASS::rlm,-14.6873814826843,2.63799952590758,-5.56762097128554,5.19858313919189e-08,-5.44438104162902,-1,-5.44438104162902,-
EMBARC,BSI,Veillonella_parvula,MASS::rlm,-14.0740609943343,3.09479416498585,-4.547656562613,7.52043734660062e-06,-4.47840060107737,-1,-4.47840060107737,-
EMBARC,BSI,Neisseria_subflava,MASS::rlm,-5.17800179149289,1.62965371505091,-3.17736322978966,0.00162044977230949,-3.15220047374032,-1,-3.15220047374032,-
EMBARC,BSI,Haemophilus_influenzae,MASS::rlm,-1.84434480077484,0.714077535894731,-2.58283548783523,0.0102104377496792,-2.56861991948059,-1,-2.56861991948059,-
EMBARC,BSI,Haemophilus_parainfluenzae,MASS::rlm,-12.3076779126385,2.62309605139274,-4.69204240771269,3.90563245105308e-06,-4.61634193314925,-1,-4.61634193314925,-
EMBARC,BSI,Moraxella_catarrhalis,MASS::rlm,2.26790344729608,1.39655130145564,1.62393135499728,0.105303723798264,1.61966748785117,1,1.61966748785117,NA
EMBARC,BSI,Pseudomonas_aeruginosa,MASS::rlm,4.6104655788856,0.592327807575938,7.78363858646721,8.28666676573727e-14,7.46568612036181,1,7.46568612036181,+
EMBARC,BSI,Pseudomonas_tolaasii,MASS::rlm,10.6296692916622,12.3997009414842,0.857252069370456,0.391900679798198,0.856175558485408,1,NA,NA
