dataSet,var,Species,Method,Estimate,Std.Error,t_value,p_value,OR,CI_low,CI_high,Zscore,direction,PlotValue,Text
EMBARC,MMRC,Streptococcus_oralis,MASS::polr,-1.56073085933191,1.33832466727488,-1.16618253962986,0.243540650436626,0.209982547401142,0.0152404986900891,2.89312516012001,-1.16618253962986,-1,-1.16618253962986,NA
EMBARC,MMRC,Streptococcus_parasanguinis,MASS::polr,-1.94130361056996,1.34597942282639,-1.4422981344644,0.149218286249019,0.143516737842069,0.0102613096289138,2.00725392622319,-1.4422981344644,-1,-1.4422981344644,NA
EMBARC,MMRC,Streptococcus_pneumoniae,MASS::polr,-1.02513957341254,0.937021543000314,-1.09404055976138,0.273937189839744,0.358746390453516,0.057173312713003,2.25103228335685,-1.09404055976138,-1,NA,NA
EMBARC,MMRC,Streptococcus_salivarius,MASS::polr,-2.2704130584894,0.937658438300758,-2.42136471635011,0.0154623551536408,0.103269514922268,0.0164375023289505,0.648796422890694,-2.42136471635011,-1,-2.42136471635011,-
EMBARC,MMRC,Streptococcus_sp._HSISM1,MASS::polr,-0.0127163973353283,1.4359397479987,-0.00885580147290402,0.992934185087703,0.987364114410809,0.059183849466264,16.4721947493792,-0.00885580147290404,-1,NA,NA
EMBARC,MMRC,Streptococcus_sp._LPB0220,MASS::polr,0.222555644743992,1.42390952423432,0.156299007033938,0.875797338992859,1.24926533276623,0.0766691598097,20.355823326162,0.156299007033938,1,NA,NA
EMBARC,MMRC,Streptococcus_sp._oral_taxon_431,MASS::polr,-4.86026952049,1.47534255180206,-3.2943329090274,0.000986555794177215,0.00774839525839791,0.000429930157502614,0.139645074979412,-3.2943329090274,-1,-3.2943329090274,-
EMBARC,MMRC,Veillonella_atypica,MASS::polr,-3.28311434058005,1.18427312878944,-2.77226111170489,0.00556683627136612,0.0375112518911944,0.003682192114486,0.382134873655569,-2.77226111170489,-1,-2.77226111170489,-
EMBARC,MMRC,Veillonella_dispar,MASS::polr,-4.37057658088057,1.40050373785524,-3.12071754094264,0.00180410989416764,0.0126439482070982,0.000812403461617358,0.1967857521748,-3.12071754094264,-1,-3.12071754094264,-
EMBARC,MMRC,Veillonella_parvula,MASS::polr,-3.17832960110432,1.63314980106394,-1.94613476304118,0.051638553759916,0.0416551778027034,0.00169640428819153,1.02284216672466,-1.94613476304118,-1,-1.94613476304118,NA
EMBARC,MMRC,Neisseria_subflava,MASS::polr,-1.83274470888289,0.778190824431062,-2.35513533614691,0.0185159607171685,0.159973882910269,0.034805818849263,0.735269103256,-2.35513533614691,-1,-2.35513533614691,-
EMBARC,MMRC,Haemophilus_influenzae,MASS::polr,-0.126319359856301,0.347258804227853,-0.363761431872631,0.71603616527492,0.881333339346114,0.446224045262129,1.7407140276062,-0.363761431872631,-1,NA,NA
EMBARC,MMRC,Haemophilus_parainfluenzae,MASS::polr,-5.09935191046355,1.33841087104745,-3.81000485035866,0.000138964065427124,0.00610069908382569,0.000442712928796373,0.0840692170716125,-3.81000485035866,-1,-3.81000485035866,-
EMBARC,MMRC,Moraxella_catarrhalis,MASS::polr,1.62397789128859,0.728642052708288,2.22877321622108,0.0258289978888435,5.07323099266638,1.21636354934169,21.1595231695986,2.22877321622108,1,2.22877321622108,+
EMBARC,MMRC,Pseudomonas_aeruginosa,MASS::polr,0.5960883368715,0.292118333980797,2.04057146550304,0.0412934408352135,1.81500520752323,1.02382634066929,3.21758072876201,2.04057146550304,1,2.04057146550304,+
EMBARC,MMRC,Pseudomonas_tolaasii,MASS::polr,2.55212316133067,5.33961400412208,0.477960234458986,0.632678508295599,12.8343242166333,0.000365835061383633,450257.221040186,0.477960234458986,1,NA,NA
