SampleID	Group	PCoA1	PCoA2
KL0027	PAD	-0.476347979505011	0.210586236712005
KL0025	PAD	-0.218916113951552	0.215661595012021
KL0017	PPMD	-0.511817049960355	0.122948560219723
IT85	HID	-0.139398334252859	-0.623213231887093
IT337	NPD	0.159199265729145	0.111522225532424
IT11	PPMD	-0.126631957916933	-0.0465865098749957
CH0039	PPMD	0.0398115882403324	0.0422058383426048
CH0038	NPD	0.067162731525109	0.0540556459375854
CH0030	NPD	0.147106531695717	0.064707913690524
CH0022	NPD	0.0530625185147342	0.0550298248502718
CH0020	NPD	-0.0567719809299186	0.0385518411637842
CH0019	NPD	-0.134242190409665	-0.0048484657477432
CH0006	NPD	0.0690087913466763	0.0679822254965866
AL0004	NPD	-0.147548365088843	-0.00135428693882771
AL0003	NPD	-0.0786637992762189	0.023392937926988
AL0002	NPD	-0.0389334441990801	0.0255629408025634
TT0051	NPD	0.141063687710875	0.103982955214941
TT0042	PPMD	-0.0921591122687141	0.0896495463078388
TT0040	NPD	0.0503214904556246	0.0464681737871207
TT0017	NPD	-0.0216820039169887	0.115859757638454
TT0015	NPD	0.13422985956257	0.134135259901414
TT0010	NPD	-0.0333355931532713	0.0793969946927484
TH0019	NPD	0.230974903314508	0.0976699961578587
TH0017	PAD	-0.670439662225214	0.189078995142225
TH0016	NPD	0.0787554801277923	0.0760803460391904
TH0008	HID	-0.201378865532181	-0.681633221753229
TH0007	PPMD	-0.148163492596822	-0.0167938599913262
TBS672	NPD	0.168906665092999	0.0648428671331883
TBS671	NPD	0.112230383395529	0.0369671373274993
TBS656	HID	-0.212067108071618	-0.669292652610063
TBS587	NPD	0.0251351638285959	0.0234337537652796
TBS559	NPD	0.0070555192670134	0.0232269378388191
TBS488	HID	-0.158827968311713	-0.64727270051669
TBS479	PPMD	0.0444774154304677	-0.00432879658581057
TBS387	PPMD	-0.196191503615375	-0.105219659453365
TBS385	PPMD	0.142489557783895	-0.240585721730993
TBS153	NPD	0.210703718578992	0.11154524915168
TBS150	NPD	0.149425811186447	0.0722697788823322
TBE0016	PAD	-0.626496703785823	0.190012039706572
TBE0015	NPD	0.264140606507632	0.0995894156222277
TBE0014	NPD	0.17602669079076	0.120874045847714
TBE0013	PPMD	0.0563102012625374	0.0163102941001035
TBE0012	PPMD	0.219722714179472	0.058745056017593
TBE0011	NPD	-0.146790216513612	-0.0504292913425084
TBE0010	NPD	0.247725700010945	0.100749400311739
TBE0009	NPD	0.258971282689311	0.0968215060246018
SRR13061234	Healthy	0.238015657201294	0.118679721217524
SRR13061235	Healthy	0.209223887472014	0.0365562403728909
SRR13061236	Healthy	0.201548154446283	0.0833814766463094
SRR13061237	Healthy	0.203846948661456	0.100709285123245
SRR13061238	Healthy	0.27284101690895	0.10337152411904
SRR13061239	Healthy	0.264139372023604	0.0973246755033546
SRR13061240	Healthy	0.250257424204353	0.110667611117551
SRR13061241	Healthy	0.240600108639746	0.120395272738275
SRR13061242	Healthy	0.213783249198268	0.0876059231408261
SRR24889334	Healthy	0.216194731974693	0.141327006943583
SRR24889335	Healthy	0.216354698009811	0.110008925784356
SRR24889336	Healthy	0.23754392973684	0.0961380423509854
SRR24889338	Healthy	0.217866338538694	0.123359146526819
SRR24889339	Healthy	0.252859027976315	0.133517708960847
SRR24889340	Healthy	0.229025148939023	0.116493598130478
SRR24889341	Healthy	0.240319063514789	0.1369801250643
SRR24889342	Healthy	0.202743320371196	0.100469611104553
SRR24889343	Healthy	0.260885904211851	0.144611158505225
SRR24889344	Healthy	0.22160288708856	0.101058055299265
SRR24889345	Healthy	0.240347017504663	0.143205150553275
SRR24889346	Healthy	0.234933864166308	0.09145219258668
SRR24889347	Healthy	0.239654568828928	0.09397258683957
SRR24889349	Healthy	0.146368325674909	0.0568191645887132
SRR24889350	Healthy	0.231800990740338	0.086167929342177
SRR24889351	Healthy	0.186843702064704	0.078588758982164
