module	Number	Super.class	Class	Sub.class	Sub.class	Summary
lavenderblush	11	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
green3	11	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
lightblue3	12	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
chocolate4	13	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
lavenderblush1	13	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
thistle4	14	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
lightslateblue	15	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
firebrick3	15	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
lightsteelblue	18	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
firebrick4	18	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
lightcoral	18	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
mediumorchid	19	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
navajowhite2	21	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
darkorange2	23	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
darkolivegreen	26	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
steelblue	27	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
darkgreen	29	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
cyan	31	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
greenyellow	32	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
green4	32	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
purple	34	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
mediumpurple1	34	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
deeppink1	39	Lipids and lipid-like molecules	Miscellaneous	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
peachpuff2	5	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
lemonchiffon2	5	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
cyan3	5	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
snow2	5	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
forestgreen	5	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
darkcyan	5	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
mediumvioletred	5	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
chartreuse3	5	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
springgreen3	5	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
lightyellow2	5	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
rosybrown1	6	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
peachpuff3	6	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
lemonchiffon3	6	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
chartreuse4	6	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
violetred4	7	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
darkorchid4	7	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
peachpuff4	7	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
seashell3	7	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
orange1	7	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
slateblue4	7	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
peru	8	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
dodgerblue3	8	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
lightblue	8	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
red4	8	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
chocolate1	8	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
deepskyblue	9	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
tan1	9	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
burlywood	9	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
darkgoldenrod3	9	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
rosybrown4	9	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
navajowhite4	9	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
pink1	9	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
purple2	10	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
magenta1	10	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
indianred1	10	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
mediumorchid4	10	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
chocolate2	10	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
lavender	10	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
deeppink2	10	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
firebrick	10	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
moccasin	11	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
chocolate3	11	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
palevioletred	11	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
cornflowerblue	11	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
royalblue3	11	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
navajowhite3	11	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
aliceblue	11	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
darkseagreen1	11	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
mediumpurple	12	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
lightskyblue4	12	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
orangered	12	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
indianred2	12	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
antiquewhite1	13	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
darkseagreen2	13	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
palevioletred1	13	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
tan4	14	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
blue4	14	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
indianred3	15	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
lightblue4	15	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
orangered1	15	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
honeydew	16	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
darkseagreen3	16	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
mediumpurple4	16	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
yellow3	16	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
sienna4	16	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
